School ID,school_name,division,region,median_pctile,iqr_pctile,frac_top_n,mean_rank,rank_sd
116024,Tingui-an ES,Iloilo,Region VI,0.4437654182552142,0.034018277640726624,0.0,10003.268,452.9322865241558
115844,Supang CS,Guimaras,Region VI,0.4437093518726172,0.1520099798161022,0.0,9780.632,1983.2214320584578
129748,Colorado ES,Digos City,Region XI,0.4436532854900202,0.056360731105629114,0.0,9883.812,705.9939324498476
119982,Suba Basbas Elementary School,Lapu-Lapu City,Region VII,0.4434570531509307,0.012194438214846393,0.0,9944.1,167.51035191891873
127640,Don Gregorio Pelaez ES,Misamis Oriental,Region X,0.4433168871944382,0.016889997757344677,0.0,9949.138,229.032091541775
108180,Conchu Elementary School,Cavite,Region IV-A,0.4431767212379457,0.023519847499439306,0.0,9936.83,309.6380743707079
119974,Bagong Silang Elementary School,Lapu-Lapu City,Region VII,0.4431767212379457,0.023828212603722865,0.0,9987.794,297.5543371621392
113561,San Vicente ES (Cawayan West),Masbate,Region V,0.4430926216640502,0.0336678627494954,0.0,9891.13,442.64135041814615
100171,Pagudpud Central Elementary School,Ilocos Norte,Region I,0.44300852209015473,0.09099573895492269,0.0,9921.682,1059.575073732862
129795,Nanyo Central ES,Panabo City,Region XI,0.44295245570755776,0.04919825072886297,0.0,9964.68,619.4893716602409
117169,Magsaysay ES (Negros Occidental),Negros Occidental,NIR,0.4429524557075577,0.09672852657546532,0.0,9964.096,1245.2714928014693
117558,Yee-On ES,Cadiz City,NIR,0.44284032294236375,0.05951446512671005,0.0,9929.662,721.4233983979173
130879,New Iloilo Elementary School,South Cotabato,Region XII,0.44281228975106524,0.09056122448979592,0.0,9947.324,1259.5192491677133
116525,Gines ES,Iloilo,Region VI,0.4427842565597668,0.13503588248486204,0.0,9882.91,1443.2316577389786
131100,Mamali Elementary School,Sultan Kudarat,Region XII,0.44272819017716974,0.15049618748598337,0.0,9693.242,1878.6699847062016
120920,Abuyog South Central School,Leyte,Region VIII,0.44267212379457277,0.0203240636914106,0.0,9899.754,285.96807773595987
120277,Mckinley ES,Guihulngan City,NIR,0.4424198250728863,0.10299394483067947,0.0,9887.138,1410.3232958992062
212002,La Suerte ES,Agusan del Sur,CARAGA,0.44239179188158784,0.06171507064364207,0.0,9877.722,757.0361713392564
500229,Cantipla IS,Cebu City,Region VII,0.4423357254989908,0.0038685803991926337,0.0,9970.4,90.95123968368986
108313,San Antonio Elementary School,Laguna,Region IV-A,0.4423357254989908,0.11681430814083882,0.0,9766.974,1446.9311750473828
501989,Lubol Integrated School,South Cotabato,Region XII,0.44222359273379686,0.016904014352993935,0.0,10006.658,267.2827361353516
129165,Baganga Central Elem. School,Davao Oriental,Region XI,0.44208342677730433,0.20757176496972407,0.0,9663.712,2674.612331732582
129715,Catalunan Grande ES,Davao City,Region XI,0.44208342677730433,0.03836342229199374,0.0,9981.448,475.1432618653031
233501,Linao Elementary School,Talisay City,Region VII,0.4420553935860059,0.06533135232114823,0.0,10087.198,855.6983106188769
132942,Falcon Memorial Elementary School,Surigao del Sur,CARAGA,0.4418591612469164,0.027570643642072235,0.0,9872.43,373.6853557473185
129680,Alambre ES,Davao City,Region XI,0.44180309486431935,0.02046422964790312,0.0,9991.482,248.83245302009945
124605,Nangca ES,Zamboanga del Norte,Region IX,0.44180309486431935,0.08380522538685803,0.0,10059.148,1055.5531621363275
