School ID,school_name,division,region,median_pctile,iqr_pctile,frac_top_n,mean_rank,rank_sd
120489,Libertad Ong Calderon MES (Ajong Elementary S),Negros Oriental,NIR,0.7117738372440146,0.11046928174816406,0.0,4845.108,1225.9664694990643
107129,Sta. Rita ES,Olongapo City,Region III,0.711654427129978,0.011732043704101747,0.0,4841.168,149.75049841653282
119255,Cordova Central ES,Cebu,Region VII,0.711654427129978,0.0158516926383665,0.0,4852.662,186.21695883028485
136387,Quezon Hill Elementary School,Baguio City,CAR,0.711654427129978,0.07736282763150037,0.0,4927.834,956.9825925501467
112141,Calasgasan ES,Camarines Norte,Region V,0.7116544271299778,0.0552719565347185,0.0,4897.66,660.7461179605976
110594,Casiligan ES,Oriental Mindoro,Region IV-B,0.7115350170159412,0.12185802137441049,0.0,4871.646,1376.4508798660415
187013,Tal-ot Elementary School,Cebu,Region VII,0.7115051644874321,0.00855274941787576,0.0,4904.028,219.05872093116952
232001,Baican Elementary School,Bayawan City,NIR,0.7113857543733955,0.00401516508448263,0.0,4852.426,78.1625263409519
173541,Gignaroy E.S.,Camarines Sur,Region V,0.7113260493163771,0.1976386649949251,0.0,5394.898,2346.0173544959125
127091,San Manuel ES,Lanao del Norte,Region X,0.7112364917308496,0.05697355065974086,0.0,5025.548,752.776848538795
100952,Luna Central School,La Union,Region I,0.7111767866738312,0.08319899695504207,0.0,4921.462,959.237605891262
126561,Cabangahan Elementary School,Malaybalay City,Region X,0.711117081616813,0.08731864588930682,0.0,5111.992,1282.8183175867111
501214,Las Piñas Integrated School,Nueva Ecija,Region III,0.7110573765597946,0.027449399964176946,0.0,4903.578,328.49521749334497
120354,Capanun-an Elementary School,Negros Oriental,NIR,0.7110573765597946,0.12279837602244914,0.0,5236.186,1647.0169505515116
169511,Mendigorin Elementary School,Occidental Mindoro,Region IV-B,0.7109976715027763,0.051241865185981283,0.0,4965.546,659.1097540501127
107231,Agustin T. Ramos Memorial Elementary School,Batangas,Region IV-A,0.7108484088602305,0.052361335005074894,0.0,5078.194,815.6091443602138
112642,Lagonoy North CS,Camarines Sur,Region V,0.7108484088602305,0.16300973192429402,0.0,5259.56,2187.1976523396324
126763,Magkalungay ES,Bukidnon,Region X,0.7108484088602305,0.03795748999940296,0.0,4943.48,532.3458402204342
106753,Bagong Barrio Elementary School,Tarlac City,Region III,0.7106692936891754,0.0470475849304437,0.0,4970.324,609.5263956745434
132974,San Agustin Elementary School,Tandag City,CARAGA,0.7106692936891754,0.016687563436623032,0.0,4855.83,199.80490759738612
121991,Villaba South Central School,Leyte,Region VIII,0.7106692936891754,0.1251119469819093,0.0,4817.542,1487.6953600236845
132065,Buhangin Elementary School,Butuan City,CARAGA,0.7106692936891754,0.00716460684219955,0.0,4895.81,150.89107959054436
117197,Aguntilang ES,Negros Occidental,NIR,0.7105200310466296,0.1285748402889726,0.0,5578.794,1932.565022855376
101217,Sablig ES,"Pangasinan I, Lingayen",Region I,0.7104603259896113,0.01871753537524634,0.0,4896.424,235.27643363499033
111884,Tagoytoy ES (Malinao),Albay,Region V,0.7103707684040839,0.022314765060600705,0.0,4897.848,299.1834569223372
106074,Camachiles ES,Mabalacat City,Region III,0.7103110633470655,0.03998746193802627,0.0,4837.362,472.96276275833804
117832,Basak ES (Kabankalan City),Kabankalan City,NIR,0.7103110633470655,0.06430234640874088,0.0,4923.734,720.3891415367113
102960,Culung Elementary School,Cagayan,Region II,0.7102812108185563,0.05621231118275716,0.0,4952.462,675.5483939408042
500042,Catmon Integrated School,Cebu,Region VII,0.7102513582900472,0.08978147949131288,0.0,4915.664,1029.166644962807
112843,Sta. Cruz ES (Nabua West),Camarines Sur,Region V,0.7101020956475014,0.1568302585228969,0.0,5286.566,1933.636088214119
187025,Catarman Elementary School,Cebu,Region VII,0.7098931279479372,0.020553465878559884,0.0,4872.438,230.60893771924802
106968,San Jose-Patrocinio Elementary School,Zambales,Region III,0.7098334228909189,0.07854200250761245,0.0,4994.62,935.0634029839902
117219,Cabagna-an ES,Negros Occidental,NIR,0.7098334228909189,0.0281360081198877,0.0,4863.616,344.8224536540508
500362,Santiago Sur Integrated School,La Union,Region I,0.7098334228909189,0.05580930204788348,0.0,4977.184,710.424454916918
119184,Upland ES,Carcar City,Region VII,0.7098035703624097,0.046689354588333676,0.0,4824.85,609.4200648977683
120316,Cangabo ES,Negros Oriental,NIR,0.7096543077198638,0.10285688697832707,0.0,5037.444,1177.4194320054346
117179,Mabua ES,Negros Occidental,NIR,0.7094453400202997,0.018254821183354197,0.0,4899.088,234.72980265829048
