School ID,school_name,division,region,mean_end,sd_end,skew_end,delta_mean,delta_sd,delta_skew,assessed_count,lgu_name,lgu_sef,sef_per_capita,need_score,impact_score,capacity_gap_score,need_pctile,impact_pctile,capacity_gap_pctile,priority_score,priority_pctile
502613,Bigbiga Integrated School,Tarlac,Region III,4.3677419354838705,0.872207246314478,-1.6447596594200538,0.3754342431761777,-0.26548380666884885,-0.49935064854193834,143.0,Mayantoc,2536229.19,401.55623654211524,-0.6316646374805348,143.0,0.16518865104541477,0.43990882718607544,0.32552838789888106,0.3695607128056361,0.05292213303324014,0.4495441359303771
133936,Datu Yuseff Paglas ES,Maguindanao del Sur,BARMM,4.350380733580414,1.1505424397004427,-2.3307867794189656,0.9088143074911335,-0.5254182871209963,-1.7487516102606937,522.0,Buluan,3277874.84,327.9842745647388,-4.825345190577214,522.0,0.20662512825834778,0.13447990053874845,0.8795586406962288,0.4473684210526316,0.05291606039000094,0.4494405304600083
112571,Tabiguian ES,Camarines Sur,Region V,4.004419191919192,0.966156780546825,-0.7407544170926649,0.061792929292929344,0.18059208466169618,0.11213058592805591,96.0,Caramoan,779274.94,50.99966884816754,5.160282970882,96.0,0.3626256751329471,0.8749481972648155,0.06646290924160796,0.9092416079569001,0.05287385667686213,0.44933692498963945
118958,Nug-as ES,Cebu,Region VII,4.3052177858439205,0.7005137118540133,-0.8620975865931699,0.3013384754990929,0.042171237743711676,-0.5911726502882536,112.0,Argao,4482131.96,251.12796727924697,0.9349561802732953,112.0,0.24991138215062203,0.5989432242022379,0.16245337753833403,0.5429962702030667,0.05283372699032077,0.4492333195192706
204510,Banaog Elementary School,Davao del Norte,Region XI,2.4006535947712413,1.295916820667908,0.024478019420870134,0.15620915032679683,0.007554650641409921,-0.2962816004243638,95.0,Talaingod,563565.14,67.05915516420752,11.977310673524103,95.0,0.35358080911468553,0.9859096560298384,0.061386241193535016,0.8728760878574389,0.05282758504923307,0.4491297140489018
107324,Hukay Elementary School,Batangas,Region IV-A,4.407594031984276,0.8893224557817268,-1.2837245495834295,0.23038882384197024,-0.1185466260984056,-0.23226297906592408,205.0,Calatagan,14937201.76,1007.7043621399176,0.9787485992913043,205.0,-0.176200137821176,0.6015333609614588,0.5529941980936594,0.15872358060505595,0.05279851953289322,0.4490261085785329
116468,Walang ES,Iloilo,Region VI,4.543104643104643,0.8721337626844793,-2.563153451305039,0.3655994455994449,-0.21351621555842504,-0.9509083753914758,160.0,Lambunao,5569102.13,298.8998566981537,-2.4698353042926864,160.0,0.2230057681895048,0.2777662660588479,0.39898466639038543,0.4763779527559055,0.052794339373059405,0.4489225031081641
102278,Palina East Elementary School,Urdaneta City,Region I,4.247293075790125,1.1471082225009532,-1.7888244022973558,0.6359738906679304,-0.25234370543044826,-0.89510900874288,387.0,Urdaneta City,35780537.54,967.957190315163,-1.1638243055992545,387.0,-0.1538141264205091,0.39432242022378783,0.8127331123083299,0.16462909241607956,0.05276014844384954,0.44881889763779526
104002,Bayombong West ES,Nueva Vizcaya,Region II,4.138631622861911,0.6846759213550218,-0.74300538256641,0.9814679416464256,-0.5099302375975392,-0.1580003216817083,210.0,Bayombong,6581157.42,377.7064634986226,-3.033035106167437,210.0,0.17862108577583824,0.23694571073352674,0.5649088271860754,0.3939598010774969,0.052732592346294474,0.44871529216742645
101961,San Juan ES,"Pangasinan II, Binalonan",Region I,4.120588235294117,0.8856843480265356,-0.9994543169470671,0.46130252100840297,-0.29065290907764474,0.18817434807325228,172.0,San Manuel,8209482.72,817.2705545047287,0.9980057526691379,172.0,-0.06894588064812342,0.603294653957729,0.44881889763779526,0.19472648155822628,0.05272609750047515,0.4486116866970576
